No,KoreanName,EnglishName,KCD,VCode,Support,UnmatchedReason
1413,(무한성) 외배엽형성이상,Ectodermal dysplasia (anhidrotic),Q82.4,V900,의료비(급여부분),no_conservative_match
1411,"(외)이도의 선천성 결여, 폐쇄, 협착","Congenital absence, atresia and stricture of auditory canal(external)",Q16.1,V291,의료비(급여부분),no_conservative_match
1410,(이상형태성) 태아알코올증후군,Fetal alcohol syndrome (dysmorphic),Q86.0,V157,의료비(급여부분),no_conservative_match
1409,(하)(상)대정맥의 선천성 협착,Congenital stenosis of vena cava (inferior)(superior),Q26.0,V150,의료비(급여부분),no_conservative_match
1408,(혈청검사음성인) 연소성 다발관절염,Juvenile polyarthritis (seronegative),M08.3,V133,의료비(급여부분),no_conservative_match
1407,10단완 11-12 결손 증후군,10p11-12 deletion syndrome,없음,V901,의료비(급여부분),no_conservative_match
1406,10번 염색체 단완의 결손 증후군,10p deletion syndrome,없음,V901,의료비(급여부분),no_conservative_match
1405,10번 염색체 단완의 삼염색체증,Trisomy 10p,Q92.2,V900,의료비(급여부분),no_conservative_match
1404,10번 염색체 장완 말단부의 단일염색체증,Distal monosomy 10q,없음,V901,의료비(급여부분),no_specialty_membership
1403,10번 염색체 장완의 22-23 부분의 미세결손 증후군,10q22q23 microdeletion syndrome,없음,V901,의료비(급여부분),no_conservative_match
1402,10번 염색체 장완의 결손 증후군,10q deletion syndrome,없음,V901,의료비(급여부분),no_conservative_match
1401,10번 염색체 장완의 중복 증후군,10q duplication syndrome,없음,V901,의료비(급여부분),no_conservative_match
1400,10장완 말단 삼염색체 증후군,Distal 10q trisomy syndrome,없음,V900,의료비(급여부분),no_conservative_match
1399,11번 염색체 장완의 중복 증후군,11q duplication syndrome,없음,V901,의료비(급여부분),no_conservative_match
1398,11장완 말단부 삼염색체 증후군,11q distal trisomy syndrome,Q92.3,V900,의료비(급여부분),no_conservative_match
1397,12번 염색체 단완 13 부분의 미세중복,12p13 microduplication,없음,V901,의료비(급여부분),no_conservative_match
1396,12번 염색체 단완의 중복 증후군,12p duplication syndrome,없음,V901,의료비(급여부분),no_conservative_match
1395,12번 염색체 장완 13 부분의 미세중복,12q13 microduplication,없음,V901,의료비(급여부분),no_conservative_match
1394,12번 염색체 장완의 결손 증후군,12q deletion syndrome,없음,V901,의료비(급여부분),no_conservative_match
1393,12번 염색체 장완의 중복 증후군,12q duplication syndrome,없음,V901,의료비(급여부분),no_conservative_match
1392,13번 염색체 장완 12.3 부분의 미세결손 증후군,13q12.3 microdeletion syndrome,없음,V901,의료비(급여부분),no_primary_specialty
1391,13번 염색체 장완 21-22 부분의 결손,13q21-22 deletion,없음,V901,의료비(급여부분),no_conservative_match
1389,13번 염색체 장완의 부분 결손,Partial deletion of the long arm of chromosome 13,없음,V901,의료비(급여부분),no_conservative_match
1388,"13삼염색체증, 감수분열비분리","Trisomy 13, meiotic nondisjunction",Q91.4,V160,의료비(급여부분),no_conservative_match
1387,"13삼염색체증, 섞임증형(유사분열비분리)","Trisomy 13, mosaicism (mitotic nondisjunction)",Q91.5,V160,의료비(급여부분),no_conservative_match
1386,"13삼염색체증, 전위","Trisomy 13, translocation",Q91.6,V160,의료비(급여부분),no_conservative_match
1385,13삼염색체증후군,Trisomy 13 Syndrome,Q91.7,V160,의료비(급여부분),no_primary_specialty
1384,14번 염색체 장완 24.2-31.1 부분의 미세결손,14q24.2q31.1 microdeletion,없음,V901,의료비(급여부분),no_conservative_match
1383,14번 염색체 장완 말단부의 단일염색체증,Distal monosomy 14q,없음,V901,의료비(급여부분),no_specialty_membership
1382,14번 염색체 장완의 결손 증후군,14q deletion syndrome,없음,V901,의료비(급여부분),no_conservative_match
1381,14번 염색체 장완의 중복 증후군,14q duplication syndrome,없음,V901,의료비(급여부분),no_conservative_match
1379,15번 고리모양 염색체,Ring chromosome 15,없음,V901,의료비(급여부분),no_specialty_membership
1378,15번 염색체 장완 11-13 부분의 미세중복 증후군,15q11q13 microduplication syndrome,Q92.3,V900,의료비(급여부분),no_specialty_membership
1377,15번 염색체 장완의 결손 증후군,15q deletion syndrome,없음,V901,의료비(급여부분),no_conservative_match
1376,15번 염색체 장완의 중복 증후군,15q duplication syndrome,없음,V901,의료비(급여부분),no_conservative_match
1375,15장완 사염색체(증)(쌍중심절 15번 염색체 증후군),Tetrasomy 15q (isodicentric 15 chromosome syndrome),Q93.2,V900,의료비(급여부분),no_conservative_match
1374,15장완11.2 미세결손 증후군,15q11.2 microdeletion syndrome,없음,V900,의료비(급여부분),no_specialty_membership
1373,16단완11.2 미세중복,16p 11.2 microduplication,없음,V901,의료비(급여부분),no_conservative_match
1372,16번 염색체 단완의 11-12 부분의 미세결손 증후군,16p11p12 microdeletion syndrome,없음,V901,의료비(급여부분),no_conservative_match
1371,16번 염색체 단완의 결손,Deletion of short arm of chromosome 16,없음,V901,의료비(급여부분),no_conservative_match
1370,16번 염색체 단완의 결손 증후군,16p deletion syndrome,없음,V901,의료비(급여부분),no_conservative_match
1369,16번 염색체 단완의 중복 증후군,16p duplication syndrome,없음,V901,의료비(급여부분),no_conservative_match
1368,16번 염색체 장완의 결손 증후군,16q deletion syndrome,없음,V901,의료비(급여부분),no_conservative_match
1367,16번 염색체 장완의 중복,16q duplication,없음,V901,의료비(급여부분),no_conservative_match
1366,17단완13.3 미세중복,17p 13.3 microduplication,없음,V901,의료비(급여부분),no_conservative_match
1364,17번 염색체 단완 13.3 부분의 미세결손 증후군,Distal 17p13.3 microdeletion syndrome,없음,V901,의료비(급여부분),no_specialty_membership
1363,17번 염색체 단완의 결손 증후군,17p deletion syndrome,없음,V901,의료비(급여부분),no_conservative_match
1361,17번 염색체 장완 25.1 부분의 중복 증후군,17q25.1 duplication syndrome,없음,V901,의료비(급여부분),no_conservative_match
1360,17번 염색체 장완의 결손 증후군,17q deletion syndrome,없음,V901,의료비(급여부분),no_conservative_match
1359,17번 염색체 장완의 중복 증후군,17q duplication syndrome,없음,V901,의료비(급여부분),no_conservative_match
1358,18 단완 염색체 결손,18 short arm chromosome deletion,Q93.5,V900,의료비(급여부분),no_conservative_match
1357,18번 고리모양 염색체,Ring chromosome 18,없음,V901,의료비(급여부분),no_specialty_membership
1356,18번 염색체 단완의 사염색체증,Tetrasomy 18p,없음,V901,의료비(급여부분),no_conservative_match
1355,18번 염색체 장완의 결손 증후군,18 long arm deletion syndrome,Q93.5,V900,의료비(급여부분),no_conservative_match
1354,18번 염색체 장완의 중복 증후군,18q duplication syndrome,없음,V901,의료비(급여부분),no_conservative_match
1353,"18삼염색체증, 감수분열비분리","Trisomy 18, meiotic nondisjunction",Q91.0,V160,의료비(급여부분),no_conservative_match
1352,"18삼염색체증, 섞임증형(유사분열비분리)","Trisomy 18, mosaicism (mitotic nondisjunction)",Q91.1,V160,의료비(급여부분),no_conservative_match
1351,"18삼염색체증, 전위","Trisomy 18, translocation",Q91.2,V160,의료비(급여부분),no_conservative_match
1350,18장완 말단부 결손 증후군,18q distal deletion syndrome,Q93.5,V900,의료비(급여부분),no_conservative_match
1349,18장완단일염색체증,18q monosomy,Q93.5,V900,의료비(급여부분),no_conservative_match
1348,19번 염색체 단완 13.3 부분의 중복,19p13.3 duplication,없음,V901,의료비(급여부분),no_conservative_match
